Date,BeeID,Period,Foraging trip duration (min)
27-Apr,OFA,Pre-dust strom,48
27-Apr,TAB,Pre-dust strom,22
27-Apr,TAB,Pre-dust strom,148
27-Apr,TAB,Pre-dust strom,12
27-Apr,NAN,Pre-dust strom,88
27-Apr,AAA,Pre-dust strom,53
27-Apr,AAA,Pre-dust strom,57
27-Apr,AAA,Pre-dust strom,14
27-Apr,AAA,Pre-dust strom,16
27-Apr,AAA,Pre-dust strom,88
27-Apr,ZAA,Pre-dust strom,42
27-Apr,DDA,Pre-dust strom,59
27-Apr,DDA,Pre-dust strom,20
27-Apr,DDA,Pre-dust strom,55
27-Apr,DDA,Pre-dust strom,58
27-Apr,DDA,Pre-dust strom,56
27-Apr,DDA,Pre-dust strom,55
27-Apr,TAN,Pre-dust strom,88
27-Apr,FDA,Pre-dust strom,55
28-Apr,OTA,Pre-dust strom,12
28-Apr,ZAA,Pre-dust strom,28
28-Apr,DDA,Pre-dust strom,54
28-Apr,DDA,Pre-dust strom,68
28-Apr,DDA,Pre-dust strom,61
28-Apr,EEA,Pre-dust strom,10
28-Apr,FTA,Pre-dust strom,14
28-Apr,AAA,Pre-dust strom,70
28-Apr,AAA,Pre-dust strom,63
28-Apr,AAA,Pre-dust strom,18
28-Apr,AAA,Pre-dust strom,63
28-Apr,AAA,Pre-dust strom,91
29-Apr,DDA,Pre-dust strom,69
29-Apr,DDA,Pre-dust strom,27
29-Apr,DDA,Pre-dust strom,25
29-Apr,DDA,Pre-dust strom,18
29-Apr,DDA,Pre-dust strom,29
29-Apr,DDA,Pre-dust strom,14
29-Apr,DDA,Pre-dust strom,25
29-Apr,DDA,Pre-dust strom,30
29-Apr,DDA,Pre-dust strom,20
29-Apr,TAB,Pre-dust strom,172
29-Apr,TAB,Pre-dust strom,25
29-Apr,TAB,Pre-dust strom,24
29-Apr,EEA,Pre-dust strom,184
29-Apr,EEA,Pre-dust strom,13
29-Apr,EEA,Pre-dust strom,28
29-Apr,AAA,Pre-dust strom,17
29-Apr,AAA,Pre-dust strom,31
